district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Narayanpet,TSD0024,2380.13,"{ ""min"": 0.0, ""max"": 535.0, ""mean"": 193.91322398247669, ""count"": 39262, ""sum"": 7613421.0, ""median"": 177.0 }","(77.23725451100006, 16.34148046400003, 77.79666638000009, 17.061726844000077)",01-01-2020.geojson,,,,,,
Jogulamba Gadwal,TSD0025,2574.21,"{ ""min"": 0.0, ""max"": 595.0, ""mean"": 245.72219211648564, ""count"": 42443, ""sum"": 10429187.0, ""median"": 205.0 }","(77.48561464400007, 15.836429923000026, 78.25321888900004, 16.362950969000053)",01-01-2020.geojson,,,,,,
Rangareddy,TSD0026,4997.54,"{ ""min"": 0.0, ""max"": 550.0, ""mean"": 150.26447890371438, ""count"": 83190, ""sum"": 12500502.0, ""median"": 151.0 }","(77.92190617600005, 16.744225033000077, 78.84397639500008, 17.522654105000072)",01-01-2020.geojson,,,,,,
Suryapet,TSD0027,3584.22,"{ ""min"": 0.0, ""max"": 538.0, ""mean"": 262.98724502623065, ""count"": 59663, ""sum"": 15690608.0, ""median"": 294.0 }","(79.36051795300006, 16.63122235000003, 80.07318026800004, 17.526066134000075)",01-01-2020.geojson,,,,,,
Medchal Malkajgiri,TSD0028,1088.52,"{ ""min"": 0.0, ""max"": 477.0, ""mean"": 118.77154198136611, ""count"": 18139, ""sum"": 2154397.0, ""median"": 138.0 }","(78.34798865200008, 17.361463480000054, 78.75985781500003, 17.70854524600003)",01-01-2020.geojson,,,,,,
Adilabad,TSD0029,3980.34,"{ ""min"": 0.0, ""max"": 523.0, ""mean"": 155.7357057594748, ""count"": 67020, ""sum"": 10437407.0, ""median"": 143.0 }","(78.17215629700007, 19.17277807100004, 78.97780562900004, 19.91690008100005)",01-01-2020.geojson,,,,,,
Hyderabad,TSD0030,182.64,"{ ""min"": 0.0, ""max"": 414.0, ""mean"": 12.879247773012207, ""count"": 3031, ""sum"": 39037.0, ""median"": 0.0 }","(78.38267903300004, 17.293465379000054, 78.55019026600007, 17.483791793000023)",01-01-2020.geojson,,,,,,
Kumurambheem Asifabad,TSD0031,4495.32,"{ ""min"": 0.0, ""max"": 567.0, ""mean"": 179.61417593609056, ""count"": 75607, ""sum"": 13580089.0, ""median"": 165.0 }","(78.80016529900007, 19.050559607000025, 79.97913072000006, 19.617151517000025)",01-01-2020.geojson,,,,,,
Jayashankar Bhupalpally,TSD0032,2946.01,"{ ""min"": 0.0, ""max"": 730.0, ""mean"": 221.5421981938201, ""count"": 49386, ""sum"": 10941083.0, ""median"": 192.0 }","(79.55918339200008, 18.156703452000045, 80.34460111152396, 18.869152369000062)",01-01-2020.geojson,,,,,,
Mahabubnagar,TSD0033,2749.62,"{ ""min"": 0.0, ""max"": 558.0, ""mean"": 178.71354349351105, ""count"": 45616, ""sum"": 8152197.0, ""median"": 163.0 }","(77.67537161200016, 16.378530416000103, 78.369893344, 17.01442864699999)",01-01-2020.geojson,,,,,,
Rangareddy,TSSD0001,254.22,"{ ""min"": 0.0, ""max"": 494.0, ""mean"": 155.14972883753831, ""count"": 4241, ""sum"": 657990.0, ""median"": 154.0 }","(78.55995755200007, 17.23432776100003, 78.76246159900006, 17.40383786600006)",01-01-2020.geojson,Abdullapurmet,,,,,
Nagarkurnool,TSSD0002,502.12,"{ ""min"": 0.0, ""max"": 576.0, ""mean"": 257.15605133741155, ""count"": 8337, ""sum"": 2143910.0, ""median"": 230.0 }","(78.58204158400008, 16.328785754000023, 79.06420699900008, 16.552355156000033)",01-01-2020.geojson,Achampet,,,,,
Nalgonda,TSSD0003,124.12,"{ ""min"": 0.0, ""max"": 458.0, ""mean"": 287.48832684824902, ""count"": 2056, ""sum"": 591076.0, ""median"": 317.0 }","(79.40552823000007, 16.61250682600007, 79.58503520000005, 16.727679548000026)",01-01-2020.geojson,Adavidevulapally,,,,,
Yadadri Bhuvanagiri,TSSD0004,141.84,"{ ""min"": 0.0, ""max"": 431.0, ""mean"": 230.41388066017774, ""count"": 2363, ""sum"": 544468.0, ""median"": 260.0 }","(79.30480125000008, 17.343213083000023, 79.45808114400006, 17.48429223000005)",01-01-2020.geojson,Addagudur,,,,,
Mahabubnagar,TSSD0005,133.19,"{ ""min"": 0.0, ""max"": 500.0, ""mean"": 254.47873303167421, ""count"": 2210, ""sum"": 562398.0, ""median"": 187.0 }","(77.85964485800008, 16.441965785000036, 78.01275922800005, 16.583453924000025)",01-01-2020.geojson,Addakal,,,,,
Adilabad,TSSD0006,296.11,"{ ""min"": 0.0, ""max"": 387.0, ""mean"": 165.37117117117117, ""count"": 4995, ""sum"": 826029.0, ""median"": 143.0 }","(78.46791283600004, 19.529549935000034, 78.75075334500008, 19.743971118000047)",01-01-2020.geojson,Adilabad Rural,,,,,
Adilabad,TSSD0007,18.64,"{ ""min"": 0.0, ""max"": 355.0, ""mean"": 109.06940063091483, ""count"": 317, ""sum"": 34575.0, ""median"": 116.0 }","(78.51136180900005, 19.64107290800007, 78.56091570800004, 19.696663797000042)",01-01-2020.geojson,Adilabad Urban,,,,,
Jogulamba Gadwal,TSSD0008,281.08,"{ ""min"": 0.0, ""max"": 512.0, ""mean"": 267.93471234647706, ""count"": 4641, ""sum"": 1243485.0, ""median"": 291.0 }","(77.51085515500006, 15.892624954000041, 77.79118149700008, 16.073899572000073)",01-01-2020.geojson,Aiza,,,,,
Siddipet,TSSD0009,181.57,"{ ""min"": 0.0, ""max"": 264.0, ""mean"": 158.10493421052632, ""count"": 3040, ""sum"": 480639.0, ""median"": 158.0 }","(79.09867562300008, 17.991228970000066, 79.28258652700003, 18.10859845500005)",01-01-2020.geojson,Akkannapet,,,,,
Yadadri Bhuvanagiri,TSSD0010,165.31,"{ ""min"": 0.0, ""max"": 339.0, ""mean"": 162.45134350036309, ""count"": 2754, ""sum"": 447391.0, ""median"": 159.0 }","(78.99234199800003, 17.567113119000055, 79.16709451200006, 17.725946442000065)",01-01-2020.geojson,Alair,,,,,
Jogulamba Gadwal,TSSD0011,212.17,"{ ""min"": 0.0, ""max"": 549.0, ""mean"": 234.07032146957519, ""count"": 3484, ""sum"": 815501.0, ""median"": 322.5 }","(78.05931506700006, 15.836429923000026, 78.25321888900004, 16.011158503000047)",01-01-2020.geojson,Alampur,,,,,
