district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Nagarkurnool,TSD0011,6399.07,"{ ""min"": 0.1591678261756897, ""max"": 0.48566699028015137, ""mean"": 0.2964907646179199, ""count"": 50, ""sum"": 14.824538230895996, ""median"": 0.26892125606536865 }","(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",30-04-2023.geojson,,,,,,
Nalgonda,TSD0012,7218.26,"{ ""min"": 0.21024803817272186, ""max"": 0.79767036437988281, ""mean"": 0.46285563707351685, ""count"": 64, ""sum"": 29.622760772705078, ""median"": 0.39386066794395447 }","(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",30-04-2023.geojson,,,,,,
Nirmal,TSD0013,3729.13,"{ ""min"": 0.56849974393844604, ""max"": 1.120718240737915, ""mean"": 0.86320316791534424, ""count"": 32, ""sum"": 27.622501373291016, ""median"": 0.89430868625640869 }","(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",30-04-2023.geojson,,,,,,
Nizamabad,TSD0014,4168.33,"{ ""min"": 0.83149373531341553, ""max"": 1.6950253248214722, ""mean"": 1.2397496840533089, ""count"": 34, ""sum"": 42.1514892578125, ""median"": 1.2563568353652954 }","(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",30-04-2023.geojson,,,,,,
Peddapalli,TSD0015,2195.39,"{ ""min"": 0.68239486217498779, ""max"": 1.1165765523910522, ""mean"": 0.91060670216878259, ""count"": 18, ""sum"": 16.390920639038086, ""median"": 0.93434447050094604 }","(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",30-04-2023.geojson,,,,,,
Rajanna Sircilla,TSD0016,1897.97,"{ ""min"": 0.62717294692993164, ""max"": 1.5693956613540649, ""mean"": 1.0789135694503784, ""count"": 16, ""sum"": 17.262617111206055, ""median"": 1.0254604816436768 }","(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",30-04-2023.geojson,,,,,,
Sangareddy,TSD0017,4460.37,"{ ""min"": 0.56435811519622803, ""max"": 1.2711976766586304, ""mean"": 0.90995481279161239, ""count"": 36, ""sum"": 32.758373260498047, ""median"": 0.91294598579406738 }","(77.44416825100006, 17.42785604100004, 78.44886573200006, 18.309307690000026)",30-04-2023.geojson,,,,,,
Siddipet,TSD0018,3637.17,"{ ""min"": 0.65478384494781494, ""max"": 1.2097634077072144, ""mean"": 0.9493162878628435, ""count"": 29, ""sum"": 27.530172348022461, ""median"": 0.95919430255889893 }","(78.49289586600008, 17.667265188000044, 79.30335584600004, 18.34315846100003)",30-04-2023.geojson,,,,,,
Vikarabad,TSD0019,3618.96,"{ ""min"": 0.47600317001342773, ""max"": 0.8342549204826355, ""mean"": 0.61848502323545262, ""count"": 29, ""sum"": 17.936065673828125, ""median"": 0.60163289308547974 }","(77.36247981800005, 16.90300025500005, 78.07315782100005, 17.637813938000022)",30-04-2023.geojson,,,,,,
Wanaparthy,TSD0020,2174.67,"{ ""min"": 0.18125657737255096, ""max"": 0.36901083588600159, ""mean"": 0.25166442659166122, ""count"": 18, ""sum"": 4.5299596786499023, ""median"": 0.23751382529735565 }","(77.65718116, 15.94285645900004, 78.31347526600007, 16.626992442000073)",30-04-2023.geojson,,,,,,
Warangal Rural,TSD0021,2139.98,"{ ""min"": 1.0144160985946655, ""max"": 1.5645637512207031, ""mean"": 1.303954384543679, ""count"": 22, ""sum"": 28.686996459960938, ""median"": 1.3053662776947021 }","(79.47950597500005, 17.619303173000105, 80.04124404200007, 18.279223933000026)",30-04-2023.geojson,,,,,,
Warangal Urban,TSD0022,1294.45,"{ ""min"": 1.158683180809021, ""max"": 1.2836226224899292, ""mean"": 1.2244663238525391, ""count"": 10, ""sum"": 12.244663238525391, ""median"": 1.2301265001296997 }","(79.23082975700004, 17.786163054000042, 79.67163482100005, 18.266255774000058)",30-04-2023.geojson,,,,,,
Yadadri Bhuvanagiri,TSD0023,3422.72,"{ ""min"": 0.60301339626312256, ""max"": 0.79698008298873901, ""mean"": 0.70421239307948524, ""count"": 28, ""sum"": 19.717947006225586, ""median"": 0.69792592525482178 }","(78.68260567800007, 17.04419639500003, 79.45808114400006, 17.812669696000114)",30-04-2023.geojson,,,,,,
Narayanpet,TSD0024,2380.13,"{ ""min"": 0.30688628554344177, ""max"": 0.68239486217498779, ""mean"": 0.53018960952758787, ""count"": 20, ""sum"": 10.603792190551758, ""median"": 0.53881800174713135 }","(77.23725451100006, 16.34148046400003, 77.79666638000009, 17.061726844000077)",30-04-2023.geojson,,,,,,
Jogulamba Gadwal,TSD0025,2574.21,"{ ""min"": 0.29929324984550476, ""max"": 0.66375744342803955, ""mean"": 0.45523223009976471, ""count"": 22, ""sum"": 10.015109062194824, ""median"": 0.42940974235534668 }","(77.48561464400007, 15.836429923000026, 78.25321888900004, 16.362950969000053)",30-04-2023.geojson,,,,,,
Rangareddy,TSD0026,4997.54,"{ ""min"": 0.25787687301635742, ""max"": 0.74728047847747803, ""mean"": 0.49607160614758006, ""count"": 41, ""sum"": 20.338935852050781, ""median"": 0.49533084034919739 }","(77.92190617600005, 16.744225033000077, 78.84397639500008, 17.522654105000072)",30-04-2023.geojson,,,,,,
Suryapet,TSD0027,3584.22,"{ ""min"": 0.38695794343948364, ""max"": 0.91570711135864258, ""mean"": 0.61927052201895882, ""count"": 29, ""sum"": 17.958845138549805, ""median"": 0.54088878631591797 }","(79.36051795300006, 16.63122235000003, 80.07318026800004, 17.526066134000075)",30-04-2023.geojson,,,,,,
Medchal Malkajgiri,TSD0028,1088.52,"{ ""min"": 0.55745542049407959, ""max"": 0.63476592302322388, ""mean"": 0.59005165100097656, ""count"": 9, ""sum"": 5.3104648590087891, ""median"": 0.58299547433853149 }","(78.34798865200008, 17.361463480000054, 78.75985781500003, 17.70854524600003)",30-04-2023.geojson,,,,,,
Adilabad,TSD0029,3980.34,"{ ""min"": 0.64581030607223511, ""max"": 1.6356619596481323, ""mean"": 1.0477375839695786, ""count"": 33, ""sum"": 34.575340270996094, ""median"": 0.99301767349243164 }","(78.17215629700007, 19.17277807100004, 78.97780562900004, 19.91690008100005)",30-04-2023.geojson,,,,,,
Hyderabad,TSD0030,182.64,"{ ""min"": 0.54710131883621216, ""max"": 0.55400407314300537, ""mean"": 0.55055272579193115, ""count"": 2, ""sum"": 1.1011054515838623, ""median"": 0.55055272579193115 }","(78.38267903300004, 17.293465379000054, 78.55019026600007, 17.483791793000023)",30-04-2023.geojson,,,,,,
Kumurambheem Asifabad,TSD0031,4495.32,"{ ""min"": 0.69343918561935425, ""max"": 1.9442139863967896, ""mean"": 1.1595077514648438, ""count"": 36, ""sum"": 41.742279052734375, ""median"": 0.96575188636779785 }","(78.80016529900007, 19.050559607000025, 79.97913072000006, 19.617151517000025)",30-04-2023.geojson,,,,,,
Jayashankar Bhupalpally,TSD0032,2946.01,"{ ""min"": 0.69896137714385986, ""max"": 1.2815518379211426, ""mean"": 0.99721686045328772, ""count"": 24, ""sum"": 23.933204650878906, ""median"": 0.96575188636779785 }","(79.55918339200008, 18.156703452000045, 80.34460111152396, 18.869152369000062)",30-04-2023.geojson,,,,,,
Mahabubnagar,TSD0033,2749.62,"{ ""min"": 0.14122073352336884, ""max"": 0.46081715822219849, ""mean"": 0.25139893018282378, ""count"": 26, ""sum"": 6.536372184753418, ""median"": 0.22646945714950562 }","(77.67537161200016, 16.378530416000103, 78.369893344, 17.01442864699999)",30-04-2023.geojson,,,,,,
Bhadradri Kothagudem,TSD0001,6974.14,"{ ""min"": 0.98456627130508423, ""max"": 1.7178529500961304, ""mean"": 1.3168202061806955, ""count"": 62, ""sum"": 81.642852783203125, ""median"": 1.3021681308746338 }","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",30-06-2023.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{ ""min"": 0.90360897779464722, ""max"": 1.7209666967391968, ""mean"": 1.1531276702880859, ""count"": 26, ""sum"": 29.981319427490234, ""median"": 1.1262416839599609 }","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",30-06-2023.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{ ""min"": 0.72223341464996338, ""max"": 0.79696327447891235, ""mean"": 0.75898381283408722, ""count"": 19, ""sum"": 14.420692443847656, ""median"": 0.75881993770599365 }","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",30-06-2023.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{ ""min"": 0.9059443473815918, ""max"": 2.2643148899078369, ""mean"": 1.3201984714817356, ""count"": 37, ""sum"": 48.847343444824219, ""median"": 1.1542654037475586 }","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",30-06-2023.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{ ""min"": 0.90127366781234741, ""max"": 1.2282166481018066, ""mean"": 1.0563885183895336, ""count"": 34, ""sum"": 35.917209625244141, ""median"": 1.0554040670394897 }","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",30-06-2023.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{ ""min"": 0.80319076776504517, ""max"": 1.3566586971282959, ""mean"": 1.1505461798773871, ""count"": 18, ""sum"": 20.709831237792969, ""median"": 1.1791752576828003 }","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",30-06-2023.geojson,,,,,,
Khammam,TSD0007,4491.25,"{ ""min"": 0.60313278436660767, ""max"": 1.4928849935531616, ""mean"": 0.9390563034429783, ""count"": 41, ""sum"": 38.501308441162109, ""median"": 0.82654380798339844 }","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",30-06-2023.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{ ""min"": 0.68798226118087769, ""max"": 1.1091159582138062, ""mean"": 0.84133417852993664, ""count"": 29, ""sum"": 24.398691177368164, ""median"": 0.83354979753494263 }","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",30-06-2023.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{ ""min"": 1.2251030206680298, ""max"": 2.2215006351470947, ""mean"": 1.6087745428085327, ""count"": 32, ""sum"": 51.480785369873047, ""median"": 1.582794189453125 }","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",30-06-2023.geojson,,,,,,
Medak,TSD0010,2771.68,"{ ""min"": 0.76660424470901489, ""max"": 0.99702131748199463, ""mean"": 0.85104896545410158, ""count"": 25, ""sum"": 21.276224136352539, ""median"": 0.83977723121643066 }","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",30-06-2023.geojson,,,,,,
Nagarkurnool,TSD0011,6399.07,"{ ""min"": 0.29798591136932373, ""max"": 0.657623291015625, ""mean"": 0.48765956878662109, ""count"": 50, ""sum"": 24.382978439331055, ""median"": 0.50271457433700562 }","(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",30-06-2023.geojson,,,,,,
Nalgonda,TSD0012,7218.26,"{ ""min"": 0.45834371447563171, ""max"": 0.86235189437866211, ""mean"": 0.66217225790023804, ""count"": 64, ""sum"": 42.379024505615234, ""median"": 0.66657531261444092 }","(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",30-06-2023.geojson,,,,,,
Nirmal,TSD0013,3729.13,"{ ""min"": 0.82498693466186523, ""max"": 2.0821609497070312, ""mean"": 1.1426374912261963, ""count"": 32, ""sum"": 36.564399719238281, ""median"": 1.0118116140365601 }","(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",30-06-2023.geojson,,,,,,
Nizamabad,TSD0014,4168.33,"{ ""min"": 0.78528678417205811, ""max"": 1.0803139209747314, ""mean"": 0.86432086720186119, ""count"": 34, ""sum"": 29.386909484863281, ""median"": 0.83977723121643066 }","(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",30-06-2023.geojson,,,,,,
Peddapalli,TSD0015,2195.39,"{ ""min"": 1.1550437211990356, ""max"": 1.3029465675354004, ""mean"": 1.2496669557359483, ""count"": 18, ""sum"": 22.49400520324707, ""median"": 1.2609111070632935 }","(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",30-06-2023.geojson,,,,,,
Rajanna Sircilla,TSD0016,1897.97,"{ ""min"": 1.1659418344497681, ""max"": 1.4376159906387329, ""mean"": 1.2901023626327515, ""count"": 16, ""sum"": 20.641637802124023, ""median"": 1.3134554624557495 }","(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",30-06-2023.geojson,,,,,,
Sangareddy,TSD0017,4460.37,"{ ""min"": 0.67941951751708984, ""max"": 0.90750116109848022, ""mean"": 0.78766536712646484, ""count"": 36, ""sum"": 28.355953216552734, ""median"": 0.77594554424285889 }","(77.44416825100006, 17.42785604100004, 78.44886573200006, 18.309307690000026)",30-06-2023.geojson,,,,,,
